Property,ID,date,pagePath,pageTitle,activeUsers,sessions
hutchdatasci,331303847,2023-01-13,/projects/nihdatasharing/,NIH Data Sharing -,1514,1516
hutchdatasci,331303847,2023-01-10,/projects/nihdatasharing/,NIH Data Sharing -,111,115
hutchdatasci,331303847,2023-06-13,/NIH_Data_Sharing/,NIH Data Management and Sharing Policy,99,128
hutchdatasci,331303847,2023-03-20,/,(not set),83,97
hutchdatasci,331303847,2023-01-17,/news/dasl-culture/,DaSL Culture and Workstyle -,72,73
hutchdatasci,331303847,2023-01-30,/projects/nihdatasharing/,NIH Data Sharing -,47,53
hutchdatasci,331303847,2023-01-18,/news/dasl-culture/,DaSL Culture and Workstyle -,32,32
hutchdatasci,331303847,2023-02-21,/,(not set),32,33
hutchdatasci,331303847,2022-11-14,/news/NIH-Data-Sharing-Policy-Draft/,Supporting the NIH Data Sharing Policy at Fred Hutch -,28,38
hutchdatasci,331303847,2023-06-20,/,(not set),28,31
hutchdatasci,331303847,2023-05-09,/,(not set),26,30
hutchdatasci,331303847,2022-11-08,/news/NIH-Data-Sharing-Policy-Draft/,Supporting the NIH Data Sharing Policy at Fred Hutch -,24,34
hutchdatasci,331303847,2023-03-28,/projects/nihdatasharing/,NIH Data Sharing -,23,25
hutchdatasci,331303847,2023-05-15,/jobs/,Data Jobs Across Fred Hutch -,23,23
hutchdatasci,331303847,2023-06-08,/,(not set),23,25
hutchdatasci,331303847,2022-11-04,/,(not set),22,25
hutchdatasci,331303847,2022-11-07,/,(not set),21,25
hutchdatasci,331303847,2023-03-20,/training/,Training Resources for Data Science -,21,23
hutchdatasci,331303847,2023-03-17,/,(not set),20,28
hutchdatasci,331303847,2023-02-02,/,(not set),19,24
hutchdatasci,331303847,2023-03-21,/,(not set),19,36
hutchdatasci,331303847,2023-06-07,/,(not set),19,25
hutchdatasci,331303847,2023-01-11,/projects/nihdatasharing/,NIH Data Sharing -,18,21
hutchdatasci,331303847,2023-04-10,/,(not set),18,19
hutchdatasci,331303847,2023-05-15,/,(not set),18,23
hutchdatasci,331303847,2022-10-31,/,(not set),17,22
hutchdatasci,331303847,2023-04-20,/,(not set),17,17
hutchdatasci,331303847,2023-05-24,/,(not set),17,21
hutchdatasci,331303847,2022-09-29,/,Fred Hutch Data Science Laboratory -,16,18
hutchdatasci,331303847,2022-10-06,/,(not set),16,16
hutchdatasci,331303847,2022-10-12,/,(not set),16,19
hutchdatasci,331303847,2022-11-14,/,(not set),16,19
hutchdatasci,331303847,2023-02-01,/NIH_Data_Sharing/,NIH Data Management and Sharing Policy,16,16
hutchdatasci,331303847,2023-03-13,/,(not set),16,19
hutchdatasci,331303847,2023-06-01,/,(not set),16,20
hutchdatasci,331303847,2023-06-15,/ourteam/,Who We Are -,16,17
hutchdatasci,331303847,2023-06-21,/,(not set),16,18
hutchdatasci,331303847,2023-06-26,/,(not set),16,19
hutchdatasci,331303847,2022-10-20,/,(not set),15,23
hutchdatasci,331303847,2023-02-22,/,(not set),15,18
hutchdatasci,331303847,2023-04-18,/,(not set),15,21
hutchdatasci,331303847,2023-06-13,/,(not set),15,18
hutchdatasci,331303847,2022-09-16,/support/,Support Resources for Data Science -,14,15
hutchdatasci,331303847,2022-10-11,/,(not set),14,18
hutchdatasci,331303847,2022-11-09,/news/NIH-Data-Sharing-Policy-Draft/,Supporting the NIH Data Sharing Policy at Fred Hutch -,14,18
hutchdatasci,331303847,2022-12-05,/,(not set),14,18
hutchdatasci,331303847,2022-12-15,/,(not set),14,16
hutchdatasci,331303847,2023-01-10,/,(not set),14,14
hutchdatasci,331303847,2023-01-17,/jobs/,Data Jobs Across Fred Hutch -,14,14
hutchdatasci,331303847,2023-02-01,/,(not set),14,16
hutchdatasci,331303847,2023-02-21,/projects/nihdatasharing/,NIH Data Sharing -,14,14
hutchdatasci,331303847,2023-03-23,/,(not set),14,18
hutchdatasci,331303847,2023-03-24,/,(not set),14,19
hutchdatasci,331303847,2023-03-27,/,(not set),14,20
hutchdatasci,331303847,2023-04-28,/,(not set),14,14
hutchdatasci,331303847,2023-05-16,/,(not set),14,17
hutchdatasci,331303847,2023-06-06,/,(not set),14,17
hutchdatasci,331303847,2023-06-12,/,(not set),14,18
hutchdatasci,331303847,2022-10-18,/,(not set),13,15
hutchdatasci,331303847,2022-11-08,/,(not set),13,16
hutchdatasci,331303847,2023-01-18,/,(not set),13,14
hutchdatasci,331303847,2023-01-20,/,(not set),13,15
hutchdatasci,331303847,2023-01-31,/projects/nihdatasharing/,NIH Data Sharing -,13,20
hutchdatasci,331303847,2023-02-02,/projects/nihdatasharing/,NIH Data Sharing -,13,16
hutchdatasci,331303847,2023-03-20,/ourteam/,Who We Are -,13,14
hutchdatasci,331303847,2023-03-29,/,(not set),13,18
hutchdatasci,331303847,2023-04-11,/,(not set),13,16
hutchdatasci,331303847,2023-04-21,/,(not set),13,18
hutchdatasci,331303847,2023-04-25,/,(not set),13,16
hutchdatasci,331303847,2023-05-02,/,(not set),13,18
hutchdatasci,331303847,2023-05-09,/training/,Training Resources for Data Science -,13,14
hutchdatasci,331303847,2023-05-16,/jobs/,Data Jobs Across Fred Hutch -,13,13
hutchdatasci,331303847,2023-05-23,/,(not set),13,16
hutchdatasci,331303847,2023-05-24,/news/dasl-culture/,DaSL Culture and Work Style -,13,16
hutchdatasci,331303847,2023-05-25,/,(not set),13,15
hutchdatasci,331303847,2022-09-21,/,Fred Hutch Data Science Laboratory -,12,14
hutchdatasci,331303847,2022-09-26,/,Fred Hutch Data Science Laboratory -,12,14
hutchdatasci,331303847,2022-12-08,/,(not set),12,12
hutchdatasci,331303847,2022-12-12,/,(not set),12,13
hutchdatasci,331303847,2023-02-23,/,(not set),12,14
hutchdatasci,331303847,2023-02-27,/,(not set),12,20
hutchdatasci,331303847,2023-04-12,/,(not set),12,13
hutchdatasci,331303847,2023-04-24,/,(not set),12,15
hutchdatasci,331303847,2023-05-11,/,(not set),12,15
hutchdatasci,331303847,2023-05-15,/ourteam/,Who We Are -,12,12
hutchdatasci,331303847,2023-05-17,/,(not set),12,17
hutchdatasci,331303847,2023-06-02,/,(not set),12,13
hutchdatasci,331303847,2023-06-05,/,(not set),12,14
hutchdatasci,331303847,2023-06-09,/news/sttr/,Working Together To Build an AI Engine for Precision Oncology -,12,16
hutchdatasci,331303847,2023-06-22,/,(not set),12,17
hutchdatasci,331303847,2023-06-27,/,(not set),12,12
hutchdatasci,331303847,2023-06-30,/,(not set),12,15
hutchdatasci,331303847,2022-10-06,/ourteam/,Who We Are -,11,12
hutchdatasci,331303847,2022-10-31,/news/Data-Needs-Study-Launch/,Launching the Fred Hutch Data Needs Study -,11,12
hutchdatasci,331303847,2022-11-09,/,(not set),11,14
hutchdatasci,331303847,2022-11-09,/ourteam/,Who We Are -,11,13
hutchdatasci,331303847,2022-11-30,/,(not set),11,14
hutchdatasci,331303847,2022-12-12,/projects/nihdatasharing/,NIH Data Sharing -,11,14
hutchdatasci,331303847,2023-02-02,/ourteam/,Who We Are -,11,12
hutchdatasci,331303847,2023-02-07,/,(not set),11,11
hutchdatasci,331303847,2023-03-09,/,(not set),11,17
hutchdatasci,331303847,2023-03-20,/contact/,Get Connected With DaSL -,11,11
hutchdatasci,331303847,2023-03-20,/projects/,DaSL Projects -,11,12
hutchdatasci,331303847,2023-04-17,/,(not set),11,17
hutchdatasci,331303847,2023-04-27,/,(not set),11,16
hutchdatasci,331303847,2023-05-01,/,(not set),11,18
hutchdatasci,331303847,2023-05-03,/,(not set),11,20
hutchdatasci,331303847,2023-05-05,/,(not set),11,13
hutchdatasci,331303847,2023-05-08,/,(not set),11,17
hutchdatasci,331303847,2023-06-20,/ourteam/,Who We Are -,11,11
hutchdatasci,331303847,2023-06-28,/,(not set),11,15
hutchdatasci,331303847,2022-09-14,/,Fred Hutch Data Science Laboratory -,10,11
hutchdatasci,331303847,2022-10-19,/,(not set),10,12
hutchdatasci,331303847,2022-11-16,/,(not set),10,12
hutchdatasci,331303847,2022-11-22,/,(not set),10,10
hutchdatasci,331303847,2022-12-14,/,(not set),10,12
hutchdatasci,331303847,2023-01-20,/ourteam/,Who We Are -,10,11
hutchdatasci,331303847,2023-02-06,/,(not set),10,11
hutchdatasci,331303847,2023-02-13,/,(not set),10,13
hutchdatasci,331303847,2023-03-09,/datahousecalls/,DaSL Data House Calls -,10,16
hutchdatasci,331303847,2023-03-10,/,(not set),10,12
hutchdatasci,331303847,2023-03-15,/training/,Training Resources for Data Science -,10,11
hutchdatasci,331303847,2023-03-30,/,(not set),10,10
hutchdatasci,331303847,2023-04-11,/news/dasl-culture/,DaSL Culture and Work Style -,10,12
hutchdatasci,331303847,2023-04-11,/ourteam/,Who We Are -,10,10
hutchdatasci,331303847,2023-04-19,/,(not set),10,13
hutchdatasci,331303847,2023-04-26,/,(not set),10,15
hutchdatasci,331303847,2023-05-15,/projects/userdropin/,User Groups and Drop in Hours -,10,10
hutchdatasci,331303847,2022-09-15,/,Fred Hutch Data Science Laboratory -,9,16
hutchdatasci,331303847,2022-09-16,/,Fred Hutch Data Science Laboratory -,9,11
hutchdatasci,331303847,2022-09-28,/,Fred Hutch Data Science Laboratory -,9,11
hutchdatasci,331303847,2022-10-05,/,(not set),9,15
hutchdatasci,331303847,2022-10-24,/,(not set),9,13
hutchdatasci,331303847,2022-10-26,/,(not set),9,12
hutchdatasci,331303847,2022-10-27,/,(not set),9,13
hutchdatasci,331303847,2022-11-01,/,(not set),9,11
hutchdatasci,331303847,2022-11-15,/,(not set),9,10
hutchdatasci,331303847,2022-11-28,/,(not set),9,9
hutchdatasci,331303847,2022-12-02,/,(not set),9,11
hutchdatasci,331303847,2022-12-05,/training/,Training Resources for Data Science -,9,9
hutchdatasci,331303847,2022-12-09,/projects/nihdatasharing/,NIH Data Sharing -,9,14
hutchdatasci,331303847,2023-01-04,/,(not set),9,10
hutchdatasci,331303847,2023-01-17,/,(not set),9,9
hutchdatasci,331303847,2023-01-18,/projects/nihdatasharing/,NIH Data Sharing -,9,13
hutchdatasci,331303847,2023-01-23,/projects/nihdatasharing/,NIH Data Sharing -,9,11
hutchdatasci,331303847,2023-01-31,/,(not set),9,9
hutchdatasci,331303847,2023-02-01,/projects/nihdatasharing/,NIH Data Sharing -,9,10
hutchdatasci,331303847,2023-02-07,/projects/nihdatasharing/,NIH Data Sharing -,9,10
hutchdatasci,331303847,2023-02-08,/,(not set),9,9
hutchdatasci,331303847,2023-03-01,/,(not set),9,9
hutchdatasci,331303847,2023-03-07,/,(not set),9,9
hutchdatasci,331303847,2023-03-16,/,(not set),9,10
hutchdatasci,331303847,2023-03-20,/news/tags/,Posts by Tag -,9,9
hutchdatasci,331303847,2023-03-31,/,(not set),9,10
hutchdatasci,331303847,2023-03-31,/projects/userdropin/,User Groups and Drop in Hours -,9,9
hutchdatasci,331303847,2023-05-03,/ourteam/,Who We Are -,9,10
hutchdatasci,331303847,2023-05-10,/,(not set),9,9
hutchdatasci,331303847,2023-05-22,/,(not set),9,12
hutchdatasci,331303847,2023-06-12,/plan/,Fred Hutch Year 1 Data Program Plan -,9,10
hutchdatasci,331303847,2023-06-13,/NIH_Data_Sharing/why-this-new-dms-policy.html,Chapter 1 Why this new DMS policy? | NIH Data Management and Sharing Policy,9,9
hutchdatasci,331303847,2023-06-20,/jobs/,Data Jobs Across Fred Hutch -,9,10
hutchdatasci,331303847,2023-06-29,/,(not set),9,11
hutchdatasci,331303847,2022-10-13,/,(not set),8,9
hutchdatasci,331303847,2022-11-02,/,(not set),8,12
hutchdatasci,331303847,2022-11-03,/,(not set),8,12
hutchdatasci,331303847,2022-11-10,/,(not set),8,8
hutchdatasci,331303847,2022-11-17,/,(not set),8,11
hutchdatasci,331303847,2022-11-29,/,(not set),8,10
hutchdatasci,331303847,2022-12-09,/,(not set),8,14
hutchdatasci,331303847,2023-01-12,/news/dasl-culture/,DaSL Culture and Workstyle -,8,8
hutchdatasci,331303847,2023-01-13,/,(not set),8,9
hutchdatasci,331303847,2023-01-14,/projects/nihdatasharing/,NIH Data Sharing -,8,8
hutchdatasci,331303847,2023-01-17,/ourteam/,Who We Are -,8,8
hutchdatasci,331303847,2023-01-17,/projects/,DaSL Projects -,8,8
hutchdatasci,331303847,2023-01-18,/jobs/,Data Jobs Across Fred Hutch -,8,9
hutchdatasci,331303847,2023-01-18,/training/,Training Resources for Data Science -,8,8
hutchdatasci,331303847,2023-01-19,/,(not set),8,9
hutchdatasci,331303847,2023-01-23,/,(not set),8,8
hutchdatasci,331303847,2023-02-01,/training/,Training Resources for Data Science -,8,9
hutchdatasci,331303847,2023-02-06,/NIH_Data_Sharing/,NIH Data Management and Sharing Policy,8,10
hutchdatasci,331303847,2023-02-06,/projects/nihdatasharing/,NIH Data Sharing -,8,11
hutchdatasci,331303847,2023-02-09,/,(not set),8,9
hutchdatasci,331303847,2023-02-10,/,(not set),8,8
hutchdatasci,331303847,2023-02-15,/,(not set),8,10
hutchdatasci,331303847,2023-02-27,/training/,Training Resources for Data Science -,8,9
hutchdatasci,331303847,2023-02-28,/,(not set),8,9
hutchdatasci,331303847,2023-03-06,/,(not set),8,10
hutchdatasci,331303847,2023-03-15,/,(not set),8,8
hutchdatasci,331303847,2023-03-17,/contact/,Get Connected With DaSL -,8,10
hutchdatasci,331303847,2023-03-20,/jobs/,Data Jobs Across Fred Hutch -,8,8
hutchdatasci,331303847,2023-03-21,/projects/userdropin/,User Groups and Drop in Hours -,8,8
hutchdatasci,331303847,2023-03-22,/,(not set),8,13
hutchdatasci,331303847,2023-04-04,/,(not set),8,8
hutchdatasci,331303847,2023-04-12,/news/dasl-culture/,DaSL Culture and Work Style -,8,9
hutchdatasci,331303847,2023-04-25,/ourteam/,Who We Are -,8,11
hutchdatasci,331303847,2023-05-01,/ourteam/,Who We Are -,8,8
hutchdatasci,331303847,2023-05-08,/projects/userdropin/,User Groups and Drop in Hours -,8,9
hutchdatasci,331303847,2023-05-26,/,(not set),8,9
hutchdatasci,331303847,2023-05-30,/,(not set),8,12
hutchdatasci,331303847,2023-06-01,/jobs/,Data Jobs Across Fred Hutch -,8,8
hutchdatasci,331303847,2023-06-08,/plan/,Fred Hutch Year 1 Data Program Plan -,8,11
hutchdatasci,331303847,2023-06-14,/,(not set),8,11
hutchdatasci,331303847,2023-06-14,/NIH_Data_Sharing/,NIH Data Management and Sharing Policy,8,14
hutchdatasci,331303847,2023-06-23,/,(not set),8,10
hutchdatasci,331303847,2022-09-12,/,Fred Hutch Data Science Laboratory -,7,7
hutchdatasci,331303847,2022-09-23,/,Fred Hutch Data Science Laboratory -,7,10
hutchdatasci,331303847,2022-09-29,/ourteam/,Who We Are -,7,7
hutchdatasci,331303847,2022-10-06,/training/,Training Resources for Data Science -,7,7
hutchdatasci,331303847,2022-10-14,/,(not set),7,12
hutchdatasci,331303847,2022-10-18,/ourteam/,Who We Are -,7,7
hutchdatasci,331303847,2022-10-19,/ourteam/,Who We Are -,7,8
hutchdatasci,331303847,2022-10-31,/ourteam/,Who We Are -,7,9
hutchdatasci,331303847,2022-11-16,/training/,Training Resources for Data Science -,7,7
hutchdatasci,331303847,2022-11-21,/,(not set),7,8
hutchdatasci,331303847,2022-12-13,/,(not set),7,8
hutchdatasci,331303847,2022-12-13,/projects/nihdatasharing/,NIH Data Sharing -,7,10
hutchdatasci,331303847,2023-01-03,/projects/nihdatasharing/,NIH Data Sharing -,7,12
hutchdatasci,331303847,2023-01-05,/projects/nihdatasharing/,NIH Data Sharing -,7,9
hutchdatasci,331303847,2023-01-11,/,(not set),7,9
hutchdatasci,331303847,2023-01-12,/,(not set),7,8
hutchdatasci,331303847,2023-01-17,/training/,Training Resources for Data Science -,7,7
hutchdatasci,331303847,2023-01-20,/projects/nihdatasharing/,NIH Data Sharing -,7,7
hutchdatasci,331303847,2023-01-24,/,(not set),7,7
hutchdatasci,331303847,2023-01-24,/projects/nihdatasharing/,NIH Data Sharing -,7,7
hutchdatasci,331303847,2023-01-26,/,(not set),7,7
hutchdatasci,331303847,2023-01-27,/,(not set),7,10
hutchdatasci,331303847,2023-02-07,/NIH_Data_Sharing/,NIH Data Management and Sharing Policy,7,8
hutchdatasci,331303847,2023-02-17,/,(not set),7,7
hutchdatasci,331303847,2023-02-27,/projects/nihdatasharing/,NIH Data Sharing -,7,10
hutchdatasci,331303847,2023-03-02,/,(not set),7,13
hutchdatasci,331303847,2023-03-08,/,(not set),7,9
hutchdatasci,331303847,2023-03-14,/,(not set),7,8
hutchdatasci,331303847,2023-03-17,/ourteam/,Who We Are -,7,7
hutchdatasci,331303847,2023-03-21,/ourteam/,Who We Are -,7,7
hutchdatasci,331303847,2023-03-24,/ourteam/,Who We Are -,7,7
hutchdatasci,331303847,2023-03-28,/,(not set),7,8
hutchdatasci,331303847,2023-04-06,/,(not set),7,7
hutchdatasci,331303847,2023-04-07,/,(not set),7,9
hutchdatasci,331303847,2023-04-24,/ourteam/,Who We Are -,7,8
hutchdatasci,331303847,2023-05-04,/,(not set),7,7
hutchdatasci,331303847,2023-05-04,/ourteam/,Who We Are -,7,8
hutchdatasci,331303847,2023-05-05,/ourteam/,Who We Are -,7,7
hutchdatasci,331303847,2023-05-24,/ourteam/,Who We Are -,7,7
hutchdatasci,331303847,2023-06-02,/projects/userdropin/,User Groups and Drop in Hours -,7,7
hutchdatasci,331303847,2023-06-07,/ourteam/,Who We Are -,7,7
hutchdatasci,331303847,2023-06-15,/,(not set),7,10
hutchdatasci,331303847,2023-06-27,/ourteam/,Who We Are -,7,9
hutchdatasci,331303847,2022-09-22,/,Fred Hutch Data Science Laboratory -,6,9
hutchdatasci,331303847,2022-10-06,/datagroups/,Data Science Groups in the Fred Hutch Community -,6,7
hutchdatasci,331303847,2022-10-06,/support/,Support Resources for Data Science -,6,6
hutchdatasci,331303847,2022-10-12,/ourteam/,Who We Are -,6,6
hutchdatasci,331303847,2022-10-17,/,(not set),6,6
hutchdatasci,331303847,2022-10-31,/training/,Training Resources for Data Science -,6,6
hutchdatasci,331303847,2022-11-04,/ourteam/,Who We Are -,6,7
hutchdatasci,331303847,2022-11-08,/ourteam/,Who We Are -,6,7
hutchdatasci,331303847,2022-11-08,/training/,Training Resources for Data Science -,6,12
hutchdatasci,331303847,2022-12-14,/projects/nihdatasharing/,NIH Data Sharing -,6,8
hutchdatasci,331303847,2022-12-16,/projects/nihdatasharing/,NIH Data Sharing -,6,8
hutchdatasci,331303847,2023-01-16,/,(not set),6,7
hutchdatasci,331303847,2023-01-17,/contact/,Get Connected With DaSL -,6,6
hutchdatasci,331303847,2023-01-18,/projects/,DaSL Projects -,6,6
hutchdatasci,331303847,2023-01-19,/projects/nihdatasharing/,NIH Data Sharing -,6,6
hutchdatasci,331303847,2023-01-20,/training/,Training Resources for Data Science -,6,6
hutchdatasci,331303847,2023-02-02,/NIH_Data_Sharing/,NIH Data Management and Sharing Policy,6,7
hutchdatasci,331303847,2023-02-02,/contact/,Get Connected With DaSL -,6,6
hutchdatasci,331303847,2023-02-02,/training/,Training Resources for Data Science -,6,6
hutchdatasci,331303847,2023-02-03,/NIH_Data_Sharing/,NIH Data Management and Sharing Policy,6,6
hutchdatasci,331303847,2023-02-06,/projects/userdropin/,User Groups and Drop in Hours -,6,7
hutchdatasci,331303847,2023-02-12,/,(not set),6,6
hutchdatasci,331303847,2023-02-16,/,(not set),6,8
hutchdatasci,331303847,2023-02-24,/,(not set),6,8
hutchdatasci,331303847,2023-03-09,/projects/nihdatasharing/,NIH Data Sharing -,6,10
hutchdatasci,331303847,2023-03-16,/ourteam/,Who We Are -,6,6
hutchdatasci,331303847,2023-03-17,/training/,Training Resources for Data Science -,6,7
hutchdatasci,331303847,2023-03-23,/news/tags/,Posts by Tag -,6,6
hutchdatasci,331303847,2023-04-03,/,(not set),6,7
hutchdatasci,331303847,2023-04-07,/NIH_Data_Sharing/,NIH Data Management and Sharing Policy,6,10
hutchdatasci,331303847,2023-04-10,/projects/,DaSL Projects -,6,6
hutchdatasci,331303847,2023-04-13,/,(not set),6,8
hutchdatasci,331303847,2023-04-14,/,(not set),6,8
hutchdatasci,331303847,2023-04-21,/ourteam/,Who We Are -,6,6
hutchdatasci,331303847,2023-04-28,/ourteam/,Who We Are -,6,6
hutchdatasci,331303847,2023-04-30,/,(not set),6,7
hutchdatasci,331303847,2023-05-02,/ourteam/,Who We Are -,6,6
hutchdatasci,331303847,2023-05-12,/,(not set),6,10
hutchdatasci,331303847,2023-05-16,/ourteam/,Who We Are -,6,6
hutchdatasci,331303847,2023-05-16,/training/,Training Resources for Data Science -,6,6
hutchdatasci,331303847,2023-05-25,/ourteam/,Who We Are -,6,6
hutchdatasci,331303847,2023-06-08,/news/sttr/,Working Together To Build an AI Engine for Precision Oncology -,6,6
hutchdatasci,331303847,2023-06-09,/,(not set),6,8
hutchdatasci,331303847,2023-06-16,/,(not set),6,10
hutchdatasci,331303847,2023-06-18,/,(not set),6,7
hutchdatasci,331303847,2023-06-22,/projects/userdropin/,User Groups and Drop in Hours -,6,6
hutchdatasci,331303847,2023-06-29,/ourteam/,Who We Are -,6,6
hutchdatasci,331303847,2023-06-30,/ourteam/,Who We Are -,6,7
hutchdatasci,331303847,2022-09-13,/,Fred Hutch Data Science Laboratory -,5,7
hutchdatasci,331303847,2022-09-16,/ourteam/,Who We Are -,5,8
hutchdatasci,331303847,2022-09-22,/support/,Support Resources for Data Science -,5,5
hutchdatasci,331303847,2022-09-22,/training/,Training Resources for Data Science -,5,5
hutchdatasci,331303847,2022-09-27,/,Fred Hutch Data Science Laboratory -,5,6
hutchdatasci,331303847,2022-09-29,/training/,Training Resources for Data Science -,5,5
hutchdatasci,331303847,2022-09-30,/,Fred Hutch Data Science Laboratory -,5,8
hutchdatasci,331303847,2022-10-03,/,Fred Hutch Data Science Laboratory -,5,5
hutchdatasci,331303847,2022-10-04,/,(not set),5,5
hutchdatasci,331303847,2022-10-20,/ourteam/,Who We Are -,5,7
hutchdatasci,331303847,2022-10-24,/ourteam/,Who We Are -,5,6
hutchdatasci,331303847,2022-10-31,/datagroups/,Data Science Groups in the Fred Hutch Community -,5,5
hutchdatasci,331303847,2022-11-03,/ourteam/,Who We Are -,5,6
hutchdatasci,331303847,2022-11-09,/training/,Training Resources for Data Science -,5,5
hutchdatasci,331303847,2022-11-10,/news/NIH-Data-Sharing-Policy-Draft/,Supporting the NIH Data Sharing Policy at Fred Hutch -,5,7
hutchdatasci,331303847,2022-11-11,/,(not set),5,5
hutchdatasci,331303847,2022-11-14,/ourteam/,Who We Are -,5,6
hutchdatasci,331303847,2022-11-15,/news/NIH-Data-Sharing-Policy-Draft/,Supporting the NIH Data Sharing Policy at Fred Hutch -,5,6
hutchdatasci,331303847,2022-11-15,/training/,Training Resources for Data Science -,5,7
hutchdatasci,331303847,2022-11-17,/ourteam/,Who We Are -,5,5
hutchdatasci,331303847,2022-12-01,/,(not set),5,6
hutchdatasci,331303847,2022-12-06,/,(not set),5,11
hutchdatasci,331303847,2022-12-08,/ourteam/,Who We Are -,5,6
hutchdatasci,331303847,2022-12-16,/,(not set),5,7
hutchdatasci,331303847,2022-12-20,/,(not set),5,6
hutchdatasci,331303847,2023-01-05,/,(not set),5,6
hutchdatasci,331303847,2023-01-06,/projects/nihdatasharing/,NIH Data Sharing -,5,6
hutchdatasci,331303847,2023-01-09,/,(not set),5,6
hutchdatasci,331303847,2023-01-12,/projects/nihdatasharing/,NIH Data Sharing -,5,7
hutchdatasci,331303847,2023-01-12,/training/,Training Resources for Data Science -,5,8
hutchdatasci,331303847,2023-01-18,/ourteam/,Who We Are -,5,5
hutchdatasci,331303847,2023-01-19,/ourteam/,Who We Are -,5,5
hutchdatasci,331303847,2023-01-20,/projects/,DaSL Projects -,5,5
hutchdatasci,331303847,2023-01-23,/ourteam/,Who We Are -,5,5
hutchdatasci,331303847,2023-01-27,/projects/nihdatasharing/,NIH Data Sharing -,5,5
hutchdatasci,331303847,2023-02-01,/NIH_Data_Sharing/data-management-and-storage.html,Chapter 4 Data Management and Storage | NIH Data Management and Sharing Policy,5,5
hutchdatasci,331303847,2023-02-06,/training/,Training Resources for Data Science -,5,5
hutchdatasci,331303847,2023-02-09,/NIH_Data_Sharing/,NIH Data Management and Sharing Policy,5,6
hutchdatasci,331303847,2023-02-10,/jobs/,Data Jobs Across Fred Hutch -,5,5
hutchdatasci,331303847,2023-02-14,/,(not set),5,6
hutchdatasci,331303847,2023-02-15,/NIH_Data_Sharing/,NIH Data Management and Sharing Policy,5,5
hutchdatasci,331303847,2023-02-15,/training/,Training Resources for Data Science -,5,9
hutchdatasci,331303847,2023-02-16,/NIH_Data_Sharing/,NIH Data Management and Sharing Policy,5,6
hutchdatasci,331303847,2023-02-16,/training/,Training Resources for Data Science -,5,5
hutchdatasci,331303847,2023-02-22,/NIH_Data_Sharing/,NIH Data Management and Sharing Policy,5,6
hutchdatasci,331303847,2023-02-23,/projects/nihdatasharing/,NIH Data Sharing -,5,7
hutchdatasci,331303847,2023-02-24,/ourteam/,Who We Are -,5,5
hutchdatasci,331303847,2023-02-27,/NIH_Data_Sharing/,NIH Data Management and Sharing Policy,5,7
hutchdatasci,331303847,2023-02-27,/projects/userdropin/,User Groups and Drop in Hours -,5,5
hutchdatasci,331303847,2023-03-02,/training/,Training Resources for Data Science -,5,7
hutchdatasci,331303847,2023-03-03,/,(not set),5,8
hutchdatasci,331303847,2023-03-06,/contact/,Get Connected With DaSL -,5,6
hutchdatasci,331303847,2023-03-09,/ourteam/,Who We Are -,5,5
hutchdatasci,331303847,2023-03-10,/ourteam/,Who We Are -,5,5
hutchdatasci,331303847,2023-03-13,/projects/nihdatasharing/,NIH Data Sharing -,5,6
hutchdatasci,331303847,2023-03-20,/projects/nihdatasharing/,NIH Data Sharing -,5,6
hutchdatasci,331303847,2023-03-20,/projects/userdropin/,User Groups and Drop in Hours -,5,5
hutchdatasci,331303847,2023-03-23,/jobs/,Data Jobs Across Fred Hutch -,5,5
hutchdatasci,331303847,2023-03-23,/projects/,DaSL Projects -,5,5
hutchdatasci,331303847,2023-03-23,/training/,Training Resources for Data Science -,5,5
hutchdatasci,331303847,2023-04-10,/training/,Training Resources for Data Science -,5,6
hutchdatasci,331303847,2023-04-11,/jobs/,Data Jobs Across Fred Hutch -,5,5
hutchdatasci,331303847,2023-04-16,/,(not set),5,5
hutchdatasci,331303847,2023-04-18,/projects/nihdatasharing/,NIH Data Sharing -,5,6
hutchdatasci,331303847,2023-04-19,/ourteam/,Who We Are -,5,5
hutchdatasci,331303847,2023-04-22,/,(not set),5,6
hutchdatasci,331303847,2023-05-05,//contact/,Get Connected With DaSL -,5,6
hutchdatasci,331303847,2023-05-08,/ourteam/,Who We Are -,5,5
hutchdatasci,331303847,2023-05-08,/projects/nihdatasharing/,NIH Data Sharing -,5,6
hutchdatasci,331303847,2023-05-15,/training/,Training Resources for Data Science -,5,5
hutchdatasci,331303847,2023-05-18,/,(not set),5,7
hutchdatasci,331303847,2023-05-19,/,(not set),5,7
hutchdatasci,331303847,2023-05-23,/jobs/,Data Jobs Across Fred Hutch -,5,5
hutchdatasci,331303847,2023-05-24,/jobs/,Data Jobs Across Fred Hutch -,5,5
hutchdatasci,331303847,2023-06-01,/news/dasl-culture/,DaSL Culture and Work Style -,5,6
hutchdatasci,331303847,2023-06-01,/ourteam/,Who We Are -,5,6
hutchdatasci,331303847,2023-06-05,/jobs/,Data Jobs Across Fred Hutch -,5,7
hutchdatasci,331303847,2023-06-07,/jobs/,Data Jobs Across Fred Hutch -,5,5
hutchdatasci,331303847,2023-06-08,/news/,Fred Hutch DaSL News -,5,5
hutchdatasci,331303847,2023-06-08,/news/NeedsAssessmentv1/,Version 1.0 of the Fred Hutch Data Needs Study -,5,7
